I_huevo;F_huevo;I_l1;F_l1;I_l2;F_l2;I_crisalida;max_crisalida;F_crisalida
148;219;189;243;205;23;332;65;178
117;202;161;226;177 (2003);25;275;40,5;163
60;206;104;228;134;18;237;16;171
21;202;65;224;95;18;204;-13;161
-11;204;33;226;63;13;184;-29;163
-31;200;13;224;43;9;178;-35;159
-37;194;7;218;37;366;179;-32;152
-36;188;7;212;37;11;167;-38;145
-45;196;-1;220;29;6;182;-28;153
-31;192;13;216;43;11;180;-30;152
-35;199;9;221;39;366;170;-42;157
-45;190;-1;208;28;17;190;;146
-25;;19;;49;;;;
