I_huevo,I_l1,I_l2,I_crisalida,F_huevo,F_l1,F_l2,F_crisalida,max_crisalida
130,159,179,288,178,202,-7,142,44
73,117,143,252,170,194,-1,133,25.5
37,81,111,227,170,193,-12,134,-9.5
11,55,85,209,175,199,9,136,-8
-6,38,68,194,193,217,8,158,-21.5
-21,23,53,179,179,201,16,153,-36
-36,8,38,169,198,220,8,165,-34
-46,-2,27,172,180,202,11,150,-34
-40,4,34,173,327,208,16,154,-31.5
-38,6,36,174,189,213,9,157,-24
-41,3,33,183,184,255,10,158,-18
-32,11,41,173,185,209,8,158,-32
-42,2,32,170,182,206,19,151,-38
-45,-1,29,170,200,224,7,166,-19
-37,7,37,174,184,208,9,146,-21
-41,2,32,168,179,203,11,150,-36
-47,-3,27,182,187,208,-11,153,-29
-30,14,44,193,165,189,-17,125,-27
-22,22,52,179,166,190,-9,130,-33
-36,7,37,188,179,201,1,140,-24
-27,17,47,,,,,,
